iter	Passed	Remaining
0	50194	50143919
1	106808	53297241
2	163830	54446284
3	212000	52788075
4	263027	52342409
5	310787	51487153
6	358983	50924419
7	406820	50445774
8	456455	50260792
9	509984	50488472
10	561080	50446268
11	615156	50647864
12	661822	50247607
13	714499	50321167
14	772840	50749865
15	835133	51360702
16	893139	51644490
17	962496	52509551
18	1031298	53247570
19	1086234	53225483
20	1140257	53157722
21	1194085	53082526
22	1248031	53014220
23	1302278	52959311
24	1356119	52888670
25	1413192	52940367
26	1468980	52937706
27	1529614	53099481
28	1585181	53076247
29	1661563	53723877
30	1755023	54858622
31	1844871	55807360
32	1933435	56655508
33	2017611	57323896
34	2103086	57985108
35	2195914	58801707
36	2280733	59360719
37	2354967	59617858
38	2410389	59394466
39	2463893	59133455
40	2518592	58910495
41	2568385	58583640
42	2616114	58223755
43	2670813	58029495
44	2725850	57848595
45	2780321	57661454
46	2834660	57477270
47	2885062	57220407
48	2938310	57027205
49	2985229	56719353
50	3030665	56394156
51	3076713	56090852
52	3123430	55809217
53	3169553	55525889
54	3222357	55365963
55	3277861	55255373
56	3327660	55052354
57	3377338	54852639
58	3427769	54670017
59	3483929	54581567
60	3539690	54488023
61	3595958	54403365
62	3651727	54312206
63	3708600	54238276
64	3764772	54154802
65	3820158	54061024
66	3874552	53954583
67	3925494	53802365
68	3975812	53644662
69	4026408	53493711
70	4077024	53345858
71	4126252	53182810
72	4175170	53018947
73	4226471	52888003
74	4276496	52743461
75	4324442	52576112
76	4373470	52424845
77	4422350	52274451
78	4467683	52085268
79	4513967	51910625
80	4560395	51740781
81	4606054	51565337
82	4652511	51401845
83	4696234	51211321
84	4739411	51018366
85	4782697	50830066
86	4825532	50640356
87	4870508	50476173
88	4913397	50293315
89	4956256	50113259
90	4998495	49930025
91	5040828	49750789
92	5083367	49576496
93	5125902	49404978
94	5169582	49247077
95	5213672	49095414
96	5256231	48931718
97	5298923	48771720
98	5341284	48611085
99	5383977	48455795
100	5427147	48306987
101	5471260	48168544
102	5513676	48017161
103	5555660	47864155
104	5597753	47714181
105	5639866	47566417
106	5681823	47419333
107	5724477	47279941
108	5766667	47138535
109	5808727	46997889
110	5850975	46860519
111	5893001	46723084
112	5935081	46587765
113	5977197	46454359
114	6020114	46328709
115	6062042	46196947
